utt_id,var_ctc,var_viterbi,var_sampled,ratio_viterbi,ratio_sampled,G_effective
4323-13259-0000-0,3.056251e-07,2.638281e-06,2.869843e-06,8.632408,9.390076,8
4323-13259-0001-1,4.091375e-07,1.402371e-06,2.004146e-06,3.427627,4.898465,8
4323-13259-0002-2,1.843881e-05,2.346935e-05,2.418311e-05,1.272824,1.311533,8
4323-13259-0003-3,6.447543e-07,2.408715e-06,4.176472e-06,3.735865,6.477619,8
4323-13259-0004-4,2.245907e-07,1.008460e-06,1.097938e-06,4.490212,4.888619,8
4323-13259-0005-5,5.760266e-07,3.914083e-06,3.500181e-06,6.794969,6.076423,8
4323-13259-0006-6,5.003383e-07,1.260919e-06,1.165222e-06,2.520133,2.328869,8
4323-13259-0007-7,1.111975e-05,1.473262e-05,1.742743e-05,1.324905,1.567250,8
4323-13259-0008-8,3.034695e-07,2.919391e-06,4.406572e-06,9.620048,14.520644,8
4323-13259-0009-9,1.032687e-07,6.403457e-07,9.897270e-07,6.200774,9.584002,8
4323-13259-0010-10,3.274483e-06,7.036207e-06,9.380721e-06,2.148799,2.864794,8
4323-13259-0011-11,1.121896e-07,6.645305e-07,8.960750e-07,5.923283,7.987152,8
4323-13259-0012-12,2.467914e-06,4.325986e-06,5.869539e-06,1.752892,2.378340,8
4323-13259-0013-13,2.159554e-06,5.848518e-06,7.948194e-06,2.708207,3.680480,8
4323-13259-0014-14,5.284638e-07,1.700862e-06,1.831264e-06,3.218503,3.465259,8
4323-13259-0015-15,5.230599e-07,3.535598e-06,3.212342e-06,6.759452,6.141442,8
4323-13259-0016-16,7.089392e-07,1.299670e-06,1.655004e-06,1.833259,2.334480,8
4323-13259-0017-17,6.558739e-07,1.555503e-06,1.572074e-06,2.371649,2.396916,8
4323-13259-0018-18,2.622272e-07,1.208595e-06,1.521690e-06,4.608963,5.802947,8
4323-13259-0019-19,2.188680e-06,6.797893e-06,8.345044e-06,3.105933,3.812821,8
4323-13259-0020-20,3.443055e-07,1.555999e-06,1.968215e-06,4.519239,5.716480,8
4323-13259-0021-21,2.322463e-07,1.083073e-06,1.574179e-06,4.663466,6.778058,8
4323-13259-0022-22,3.171090e-07,1.816104e-06,2.871028e-06,5.727065,9.053757,8
4323-13259-0023-23,7.766496e-07,3.882083e-06,3.921300e-06,4.998499,5.048994,8
4323-13259-0024-24,8.499036e-07,1.696362e-06,1.832122e-06,1.995946,2.155682,7
4323-13259-0025-25,1.641500e-07,1.142415e-06,1.493351e-06,6.959577,9.097477,8
4323-13259-0026-26,4.650440e-07,1.369149e-06,2.086755e-06,2.944128,4.487221,8
4323-55228-0000-27,1.277452e-06,3.865601e-06,5.560735e-06,3.026025,4.352991,8
4323-55228-0001-28,4.895202e-06,7.809746e-06,8.628689e-06,1.595388,1.762683,8
4323-55228-0002-29,5.910370e-07,1.526024e-06,2.143048e-06,2.581943,3.625912,8
4323-55228-0003-30,4.564402e-07,1.482312e-06,1.917679e-06,3.247548,4.201380,8
4323-55228-0004-31,5.002867e-07,1.893031e-06,2.725895e-06,3.783892,5.448666,8
4323-55228-0005-32,1.044462e-06,3.409342e-06,4.484062e-06,3.264208,4.293179,8
4323-55228-0006-33,2.346626e-06,4.209518e-06,7.720182e-06,1.793860,3.289907,8
4323-55228-0007-34,1.698956e-06,7.302757e-06,8.320581e-06,4.298378,4.897466,8
4323-55228-0008-35,5.093869e-06,8.501175e-06,1.060136e-05,1.668903,2.081199,8
4323-55228-0009-36,5.975842e-07,2.301286e-06,2.258991e-06,3.850983,3.780206,8
4323-55228-0010-37,8.721336e-07,3.017986e-06,5.038595e-06,3.460463,5.777320,8
4323-55228-0011-38,8.783094e-07,2.073001e-06,1.883766e-06,2.360218,2.144763,8
4323-55228-0012-39,9.581369e-07,2.905299e-06,4.213882e-06,3.032237,4.397996,8
4323-55228-0013-40,1.769858e-06,4.176461e-06,5.639076e-06,2.359772,3.186174,8
4323-55228-0014-41,4.375036e-06,1.078456e-05,1.277543e-05,2.465022,2.920074,8
4323-55228-0015-42,9.619004e-07,2.813247e-06,3.560439e-06,2.924676,3.701463,8
4323-55228-0016-43,3.261774e-06,5.535846e-06,6.530936e-06,1.697189,2.002265,8
