utt_id,condition,mbr_wer,greedy_wer,n_unique,oracle_in_set
4323-13259-0000,baseline,0.022727,0.0,4,True
4323-13259-0001,baseline,0.0,0.0,5,True
4323-13259-0002,baseline,0.0,0.0,8,True
4323-13259-0003,baseline,0.0,0.0,5,True
4323-13259-0004,baseline,0.461538,0.461538,16,False
4323-13259-0005,baseline,0.022727,0.022727,16,True
4323-13259-0006,baseline,0.0,0.0,4,True
4323-13259-0007,baseline,0.25,0.25,16,False
4323-13259-0008,baseline,0.045455,0.045455,10,True
4323-13259-0009,baseline,0.35,0.35,16,False
4323-13259-0010,baseline,0.114286,0.114286,16,False
4323-13259-0011,baseline,0.3,0.366667,16,False
4323-13259-0012,baseline,0.705882,0.705882,16,False
4323-13259-0013,baseline,0.413793,0.448276,16,False
4323-13259-0014,baseline,0.047619,0.047619,16,False
4323-13259-0015,baseline,0.558824,0.558824,16,False
4323-13259-0016,baseline,0.0,0.0,5,True
4323-13259-0017,baseline,0.0,0.0,4,True
4323-13259-0018,baseline,0.0,0.0,3,True
4323-13259-0019,baseline,0.0,0.0,4,True
4323-13259-0020,baseline,0.1,0.1,16,False
4323-13259-0021,baseline,0.055556,0.055556,16,False
4323-13259-0022,baseline,0.146341,0.146341,16,False
4323-13259-0023,baseline,0.363636,0.363636,16,False
4323-13259-0024,baseline,0.0,0.0,1,True
4323-13259-0025,baseline,0.0,0.1,16,True
4323-13259-0026,baseline,0.0,0.0,1,True
4323-55228-0000,baseline,0.090909,0.090909,16,False
4323-55228-0001,baseline,0.3,0.3,16,False
4323-55228-0002,baseline,0.1875,0.15625,16,False
4323-55228-0003,baseline,0.777778,0.777778,16,False
4323-55228-0004,baseline,0.115385,0.153846,16,False
4323-55228-0005,baseline,0.0,0.0,9,True
4323-55228-0006,baseline,0.4,0.4,16,False
4323-55228-0007,baseline,0.0,0.0,5,True
4323-55228-0008,baseline,0.0,0.066667,16,True
4323-55228-0009,baseline,0.16129,0.16129,16,False
4323-55228-0010,baseline,0.1,0.15,16,False
4323-55228-0011,baseline,0.111111,0.111111,16,True
4323-55228-0012,baseline,0.043478,0.043478,8,False
4323-55228-0013,baseline,0.208333,0.25,16,False
4323-55228-0014,baseline,0.290323,0.354839,16,False
4323-55228-0015,baseline,0.105263,0.052632,16,False
4323-55228-0016,baseline,0.0,0.0,5,True
4323-55228-0017,baseline,0.136364,0.136364,16,False
4323-55228-0018,baseline,0.0,0.2,14,True
4323-55228-0019,baseline,0.25,0.25,16,False
4323-55228-0020,baseline,0.0,0.0,3,True
4323-55228-0021,baseline,0.0,0.2,10,True
4323-55228-0022,baseline,0.153846,0.153846,16,False
4323-55228-0023,baseline,0.0,0.0,1,True
4323-55228-0024,baseline,0.3125,0.3125,16,False
4323-55228-0025,baseline,0.071429,0.071429,12,True
4323-55228-0026,baseline,0.461538,0.461538,16,False
4323-55228-0027,baseline,0.125,0.0625,11,True
4323-55228-0028,baseline,0.0,0.0,9,True
4323-55228-0029,baseline,0.2,0.0,12,True
4323-55228-0030,baseline,0.181818,0.181818,16,False
4323-55228-0031,baseline,0.125,0.125,16,False
4323-55228-0032,baseline,0.111111,0.111111,6,True
4323-55228-0033,baseline,0.181818,0.272727,16,False
4323-55228-0034,baseline,0.0,0.0,1,True
4323-55228-0035,baseline,0.166667,0.166667,16,False
4323-55228-0036,baseline,0.04,0.0,4,True
4323-55228-0037,baseline,0.73913,0.73913,16,False
4323-55228-0038,baseline,0.0,0.0,2,True
4323-55228-0039,baseline,0.0,0.0,2,True
4323-55228-0040,baseline,0.217391,0.217391,16,False
4323-55228-0041,baseline,0.4,0.4,16,False
4323-55228-0042,baseline,0.0,0.0,2,True
4323-55228-0043,baseline,0.0,0.0,3,True
4323-55228-0044,baseline,0.0,0.0,3,True
4323-55228-0045,baseline,0.333333,0.0,4,True
4323-55228-0046,baseline,0.153846,0.153846,16,False
4323-55228-0047,baseline,0.928571,0.928571,16,False
4323-55228-0048,baseline,0.142857,0.142857,16,False
4323-55228-0049,baseline,0.222222,0.222222,16,False
4323-55228-0050,baseline,0.0,0.0,10,True
4323-55228-0051,baseline,0.166667,0.166667,9,False
4323-55228-0052,baseline,0.176471,0.235294,16,False
4323-18416-0000,baseline,0.066667,0.066667,16,False
4323-18416-0001,baseline,1.0,1.0,16,False
4323-18416-0002,baseline,0.0,0.076923,16,True
4323-18416-0003,baseline,0.181818,0.090909,16,True
4323-18416-0004,baseline,0.0,0.0,2,True
4323-18416-0005,baseline,1.0,1.0,16,False
4323-18416-0006,baseline,0.25,0.25,16,False
4323-18416-0007,baseline,0.0,0.0,3,True
4323-18416-0008,baseline,0.3,0.3,16,False
4323-18416-0009,baseline,0.05,0.05,12,True
4323-18416-0010,baseline,0.0,0.0,2,True
4323-18416-0011,baseline,0.162162,0.162162,16,False
4323-18416-0012,baseline,0.0,0.0,1,True
4323-18416-0013,baseline,0.071429,0.0,2,True
