utt_id,tau,cer_greedy,cer_mbr,mbr_different
4831-29134-0000-0,1,0.000000,0.000000,False
4831-29134-0002-2,1,0.000000,0.000000,False
4831-29134-0004-4,1,0.000000,0.000000,False
4831-29134-0006-6,1,0.000000,0.000000,False
4831-29134-0008-8,1,0.000000,0.000000,False
4831-29134-0010-10,1,0.000000,0.000000,False
4831-29134-0012-12,1,0.000000,0.000000,False
4831-29134-0014-14,1,0.000000,0.000000,False
4831-29134-0016-16,1,0.000000,0.000000,False
4831-29134-0018-18,1,0.000000,0.000000,False
4831-25894-0001-20,1,0.000000,0.000000,False
4831-25894-0003-22,1,0.012346,0.012346,False
4831-25894-0005-24,1,0.019608,0.019608,False
4831-25894-0007-26,1,0.000000,0.000000,False
4831-25894-0009-28,1,0.010135,0.010135,False
4831-25894-0011-30,1,0.000000,0.000000,False
4831-25894-0013-32,1,0.000000,0.000000,False
4831-25894-0015-34,1,0.020408,0.020408,False
4831-25894-0017-36,1,0.000000,0.000000,False
4831-25894-0019-38,1,0.000000,0.000000,False
4831-25894-0021-40,1,0.000000,0.000000,False
4831-25894-0023-42,1,0.010309,0.010309,False
4831-25894-0025-44,1,0.007752,0.007752,False
4831-25894-0027-46,1,0.010638,0.010638,False
4831-25894-0029-48,1,0.000000,0.000000,False
4831-25894-0031-50,1,0.000000,0.000000,False
4831-25894-0033-52,1,0.000000,0.000000,False
4831-25894-0035-54,1,0.000000,0.000000,False
4831-18525-0001-56,1,0.019139,0.019139,False
4831-18525-0003-58,1,0.000000,0.000000,False
4831-18525-0005-60,1,0.023529,0.023529,False
4831-18525-0007-62,1,0.000000,0.000000,False
4831-18525-0009-64,1,0.026490,0.026490,False
4831-18525-0011-66,1,0.000000,0.000000,False
4831-18525-0013-68,1,0.000000,0.000000,False
4831-18525-0015-70,1,0.015544,0.015544,False
4831-18525-0017-72,1,0.000000,0.000000,False
4831-18525-0019-74,1,0.068182,0.068182,False
4831-18525-0021-76,1,0.000000,0.000000,False
4831-18525-0023-78,1,0.000000,0.000000,False
4831-18525-0025-80,1,0.000000,0.000000,False
4831-18525-0027-82,1,0.008929,0.008929,False
4831-18525-0029-84,1,0.000000,0.000000,False
4831-18525-0031-86,1,0.000000,0.000000,False
6123-59150-0001-88,1,0.079365,0.079365,False
6123-59150-0003-90,1,0.033557,0.033557,False
6123-59150-0005-92,1,0.000000,0.000000,False
6123-59150-0007-94,1,0.055556,0.055556,False
6123-59150-0009-96,1,0.000000,0.000000,False
6123-59150-0011-98,1,0.087719,0.087719,False
6123-59150-0013-100,1,0.000000,0.000000,False
6123-59150-0015-102,1,0.037383,0.037383,False
6123-59150-0017-104,1,0.000000,0.000000,False
