sweep,utility,posterior,tau,wer_pct
tau,cer,pll,0.5,9.6451
tau,cer,pll,1.0,9.3762
tau,cer,pll,2.0,8.4812
tau,cer,pll,5.0,6.0002
tau,cer,pll,10.0,5.5292
tau,cer,pll,20.0,5.6921
tau,cer,pll,50.0,5.8197
tau,cer,pll,100.0,5.8864
tau,cer,pll,inf,5.9335
utility,cer,pll,5.0,6.0002
utility,cer,pll,10.0,5.5292
utility,cer,pll,20.0,5.6921
utility,wer,pll,5.0,6.0258
utility,wer,pll,10.0,5.4565
utility,wer,pll,20.0,5.6391
utility,token,pll,5.0,6.0258
utility,token,pll,10.0,5.6018
utility,token,pll,20.0,5.7961
utility,neg_bleu,pll,5.0,6.4340
utility,neg_bleu,pll,10.0,5.5606
utility,neg_bleu,pll,20.0,5.6705
posterior,wer,pll,10.0,5.4565
posterior,wer,ctc,10.0,5.9590
posterior,wer,gpt2,10.0,5.5998
posterior_interp,wer,ctc_pll_a0.0,10.0,5.4565
posterior_interp,wer,ctc_pll_a0.2,10.0,5.5154
posterior_interp,wer,ctc_pll_a0.4,10.0,5.5900
posterior_interp,wer,ctc_pll_a0.6,10.0,5.6999
posterior_interp,wer,ctc_pll_a0.8,10.0,5.8118
posterior_interp,wer,ctc_pll_a1.0,10.0,5.9590
posterior_poe,wer,poe_0.2_0.6_0.2,10.0,5.5272
posterior_poe,wer,poe_0.3_0.5_0.2,10.0,5.5684
posterior_poe,wer,poe_0.1_0.7_0.2,10.0,5.4840
posterior_poe,wer,poe_0.2_0.7_0.1,10.0,5.5272
posterior_poe,wer,poe_0.3_0.6_0.1,10.0,5.5802
posterior_poe,wer,poe_0.1_0.8_0.1,10.0,5.4860
posterior_poe,wer,poe_0.0_0.8_0.2,10.0,5.4703
posterior_poe,wer,poe_0.0_0.7_0.3,10.0,5.4703
posterior_poe,wer,poe_0.4_0.5_0.1,10.0,5.5959
two_stage,cer,mbr_top3_then_pll,10.0,6.5047
two_stage,cer,mbr_top3_then_ctc,10.0,5.7765
two_stage,cer,mbr_top3_then_gpt2,10.0,6.0944
two_stage,cer,mbr_top3_then_interp_0.8,10.0,5.6862
two_stage,cer,mbr_top3_then_interp_0.7,10.0,5.6234
two_stage,cer,mbr_top5_then_pll,10.0,6.8168
two_stage,cer,mbr_top5_then_ctc,10.0,5.8373
two_stage,cer,mbr_top5_then_gpt2,10.0,6.3496
two_stage,cer,mbr_top5_then_interp_0.8,10.0,5.7274
two_stage,cer,mbr_top5_then_interp_0.7,10.0,5.6685
two_stage,cer,mbr_top10_then_pll,10.0,7.1799
two_stage,cer,mbr_top10_then_ctc,10.0,5.9080
two_stage,cer,mbr_top10_then_gpt2,10.0,6.7618
two_stage,cer,mbr_top10_then_interp_0.8,10.0,5.7981
two_stage,cer,mbr_top10_then_interp_0.7,10.0,5.7313
two_stage,cer,mbr_top20_then_pll,10.0,7.6961
two_stage,cer,mbr_top20_then_ctc,10.0,5.9649
two_stage,cer,mbr_top20_then_gpt2,10.0,7.4978
two_stage,cer,mbr_top20_then_interp_0.8,10.0,5.8668
two_stage,cer,mbr_top20_then_interp_0.7,10.0,5.8236
argmax_baseline,none,argmax_pll,0,9.7452
argmax_baseline,none,argmax_ctc,0,6.0218
argmax_baseline,none,argmax_gpt2,0,11.1329
argmax_baseline,none,argmax_interp_0.8,0,5.8884
argmax_baseline,none,argmax_interp_0.7,0,5.9649
