utt_id,ctc_rho,pll_rho,gpt2_rho,ctc_wer,pll_wer,gpt2_wer,best_interp_wer,oracle_wer,is_recoverable
4831-29134-0000-0,-0.0813,-0.3362,-0.5477,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0002-2,-0.2068,-0.6464,-0.3620,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0004-4,-0.5368,-0.3183,-0.3012,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0006-6,0.0324,-0.5186,-0.0994,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0008-8,0.0648,-0.3371,-0.3025,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0010-10,-0.4703,-0.6783,-0.5644,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0012-12,-0.3636,-0.0478,-0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0014-14,-0.3451,-0.4985,-0.4602,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0016-16,-0.0874,-0.6117,-0.2913,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-29134-0018-18,-0.1085,-0.3091,-0.2007,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0001-20,-0.4198,-0.7041,-0.5010,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0003-22,-0.4383,-0.3728,-0.3120,0.0556,0.0556,0.0556,0.0556,0.0000,1
4831-25894-0005-24,-0.5281,-0.6007,-0.3730,0.0500,0.0500,0.0500,0.0500,0.0000,1
4831-25894-0007-26,-0.1733,-0.5897,-0.5134,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0009-28,-0.0802,-0.5581,-0.2815,0.0172,0.0172,0.0172,0.0172,0.0172,0
4831-25894-0011-30,-0.7050,-0.5694,-0.4122,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0013-32,-0.5149,-0.7723,-0.6238,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0015-34,-0.3706,-0.4912,-0.4137,0.0500,0.0500,0.0500,0.0500,0.0500,0
4831-25894-0017-36,0.0000,-0.2593,-0.2269,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0019-38,-0.6517,-0.8155,-0.6692,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0021-40,-0.5629,-0.4798,-0.4894,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0023-42,-0.4225,-0.5413,-0.1914,0.0588,0.0588,0.0588,0.0588,0.0000,1
4831-25894-0025-44,-0.1763,-0.5680,-0.4799,0.0213,0.0213,0.0213,0.0213,0.0213,0
4831-25894-0027-46,-0.4122,-0.4043,-0.1744,0.0625,0.0625,0.0625,0.0625,0.0000,1
4831-25894-0029-48,-0.2621,-0.4952,-0.6447,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0031-50,-0.4110,-0.5789,-0.5645,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0033-52,-0.6590,-0.6913,-0.6476,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-25894-0035-54,-0.1358,-0.7169,-0.4910,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0001-56,-0.0794,-0.5363,-0.3392,0.0513,0.0513,0.0513,0.0513,0.0513,0
4831-18525-0003-58,-0.3624,-0.5256,-0.7410,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0005-60,-0.3117,-0.5195,-0.6906,0.1250,0.1250,0.1250,0.1250,0.0625,1
4831-18525-0007-62,-0.3076,-0.5100,-0.6444,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0009-64,-0.3881,-0.5196,-0.5629,0.0645,0.0645,0.0645,0.0645,0.0645,0
4831-18525-0011-66,-0.1823,-0.5581,-0.4734,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0013-68,-0.6896,-0.5603,0.1006,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0015-70,-0.2795,-0.3900,-0.4418,0.0500,0.0500,0.0500,0.0500,0.0250,1
4831-18525-0017-72,-0.4001,-0.3622,-0.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0019-74,-0.0306,-0.1510,-0.3560,0.2500,0.2500,0.2500,0.2500,0.1250,1
4831-18525-0021-76,-0.5171,-0.5826,-0.5688,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0023-78,-0.5215,-0.1023,0.1617,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0025-80,-0.5389,-0.7114,-0.6763,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0027-82,-0.5370,-0.6157,-0.0215,0.0500,0.0500,0.0500,0.0500,0.0500,0
4831-18525-0029-84,-0.1891,-0.1209,-0.3798,0.0000,0.0000,0.0000,0.0000,0.0000,0
4831-18525-0031-86,0.1208,-0.7233,-0.8027,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0001-88,,,,0.1818,0.1818,0.1818,0.1818,0.1818,0
6123-59150-0003-90,-0.0694,-0.4162,-0.1156,0.1200,0.1200,0.1200,0.1200,0.1200,0
6123-59150-0005-92,-0.2510,-0.5523,-0.4854,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0007-94,-0.2610,-0.5897,-0.6458,0.1818,0.1818,0.1818,0.1818,0.1818,0
6123-59150-0009-96,-0.5369,-0.5369,-0.4985,0.0000,0.0000,0.0000,0.0000,0.0000,0
