method,alpha,wer,gap_closed_pct,mean_spearman_rho
roberta_pll,0.0,0.080356,-127.45,-0.4844
roberta_pll,0.1,0.076686,-104.22,-0.4924
roberta_pll,0.2,0.072427,-77.27,-0.5004
roberta_pll,0.3,0.068599,-53.04,-0.5081
roberta_pll,0.4,0.064674,-28.2,-0.5166
roberta_pll,0.5,0.06173,-9.57,-0.5233
roberta_pll,0.6,0.060218,0.0,-0.527
roberta_pll,0.7,0.059198,6.46,-0.525
roberta_pll,0.8,0.059453,4.84,-0.5093
roberta_pll,0.9,0.059845,2.36,-0.4633
roberta_pll,1.0,0.060218,0.0,-0.3474
gpt2_ll,0.0,0.092585,-204.84,-0.4005
gpt2_ll,0.1,0.087148,-170.43,-0.4154
gpt2_ll,0.2,0.081024,-131.68,-0.4293
gpt2_ll,0.3,0.075077,-94.04,-0.4414
gpt2_ll,0.4,0.069267,-57.27,-0.4544
gpt2_ll,0.5,0.06432,-25.96,-0.4653
gpt2_ll,0.6,0.061003,-4.97,-0.4717
gpt2_ll,0.7,0.059963,1.61,-0.4713
gpt2_ll,0.8,0.059885,2.11,-0.4592
gpt2_ll,0.9,0.060022,1.24,-0.423
gpt2_ll,1.0,0.060218,0.0,-0.3474
mbr_pll_tau1.0,,0.079257,-120.5,
mbr_pll_tau5.0,,0.065518,-33.54,
mbr_pll_tau10.0,,0.057922,14.53,
mbr_pll_tau50.0,,0.059217,6.34,
mbr_pll_tauinf,,0.059885,2.11,
