scale,tau,mbr_cer_wer,gap_closed,mean_entropy,frac_differ,greedy_wer,oracle_wer,mean_unique,mean_pairwise_wed
0.5,1.0,0.060218,0.00,0.0066,0.0000,0.060218,0.058628,16.0,0.4471
0.5,2.0,0.060218,0.00,0.0615,0.0003,0.060218,0.058628,16.0,0.4471
0.5,5.0,0.060179,2.47,0.4664,0.0007,0.060218,0.058628,16.0,0.4471
0.5,8.0,0.060218,0.00,0.8943,0.0028,0.060218,0.058628,16.0,0.4471
0.5,10.0,0.060199,1.23,1.1414,0.0035,0.060218,0.058628,16.0,0.4471
0.5,20.0,0.060179,2.47,1.9446,0.0077,0.060218,0.058628,16.0,0.4471
0.5,50.0,0.060277,-3.70,2.5989,0.0119,0.060218,0.058628,16.0,0.4471
0.5,inf,0.060434,-13.58,2.7724,0.0164,0.060218,0.058628,16.0,0.4471
0.75,1.0,0.060218,0.00,0.0564,0.0003,0.060218,0.051837,16.0,0.2460
0.75,2.0,0.060258,-0.47,0.3546,0.0028,0.060218,0.051837,16.0,0.2460
0.75,5.0,0.060218,0.00,1.4110,0.0129,0.060218,0.051837,16.0,0.2460
0.75,8.0,0.060316,-1.17,1.9713,0.0255,0.060218,0.051837,16.0,0.2460
0.75,10.0,0.060238,-0.23,2.1869,0.0356,0.060218,0.051837,16.0,0.2460
0.75,20.0,0.060415,-2.34,2.6021,0.0625,0.060218,0.051837,16.0,0.2460
0.75,50.0,0.060316,-1.17,2.7502,0.0761,0.060218,0.051837,16.0,0.2460
0.75,inf,0.060356,-1.64,2.7705,0.0869,0.060218,0.051837,16.0,0.2460
1.0,1.0,0.060277,-0.37,0.1689,0.0028,0.060218,0.044418,15.5,0.1906
1.0,2.0,0.060258,-0.25,0.7615,0.0091,0.060218,0.044418,15.5,0.1906
1.0,5.0,0.060022,1.24,2.0468,0.0412,0.060218,0.044418,15.5,0.1906
1.0,8.0,0.060002,1.37,2.4409,0.0677,0.060218,0.044418,15.5,0.1906
1.0,10.0,0.060081,0.87,2.5491,0.0834,0.060218,0.044418,15.5,0.1906
1.0,20.0,0.060061,0.99,2.6955,0.1142,0.060218,0.044418,15.5,0.1906
1.0,50.0,0.059865,2.24,2.7292,0.1292,0.060218,0.044418,15.5,0.1906
1.0,inf,0.059885,2.11,2.7340,0.1365,0.060218,0.044418,15.5,0.1906
