beta,tau,wer,delta_vs_roberta_pp
0.0,7,5.6371,+0.1080
0.0,10,5.6940,+0.1649
0.0,15,5.7529,+0.2238
0.2,7,5.5684,+0.0393
0.2,10,5.6391,+0.1099
0.2,15,5.7294,+0.2002
0.4,7,5.5370,+0.0079
0.4,10,5.5665,+0.0373
0.4,15,5.6999,+0.1708
0.5,7,5.5233,-0.0059
0.5,10,5.5468,+0.0177
0.5,15,5.6783,+0.1492
0.6,7,5.5174,-0.0118
0.6,10,5.5468,+0.0177
0.6,15,5.6646,+0.1354
0.8,7,5.5135,-0.0157
0.8,10,5.5213,-0.0079
0.8,15,5.6273,+0.0981
1.0,7,5.5920,+0.0628
1.0,10,5.5292,+0.0000
1.0,15,5.6195,+0.0903
