method,alpha,wer,gap_closed_pct,mean_spearman_rho
roberta_pll,0.0,0.097452,-149.72,-0.4609
roberta_pll,0.1,0.094017,-135.91,-0.466
roberta_pll,0.2,0.088345,-113.1,-0.4719
roberta_pll,0.3,0.081083,-83.9,-0.4781
roberta_pll,0.4,0.073428,-53.12,-0.4842
roberta_pll,0.5,0.067029,-27.39,-0.4896
roberta_pll,0.6,0.061946,-6.95,-0.4923
roberta_pll,0.7,0.059669,2.21,-0.4877
roberta_pll,0.8,0.058884,5.37,-0.4654
roberta_pll,0.9,0.059806,1.66,-0.4037
roberta_pll,1.0,0.060218,0.0,-0.2697
gpt2_ll,0.0,0.111329,-205.52,-0.3614
gpt2_ll,0.1,0.108071,-192.42,-0.3699
gpt2_ll,0.2,0.101555,-166.22,-0.3786
gpt2_ll,0.3,0.091309,-125.02,-0.3878
gpt2_ll,0.4,0.080749,-82.56,-0.3973
gpt2_ll,0.5,0.070817,-42.62,-0.4062
gpt2_ll,0.6,0.063476,-13.1,-0.4125
gpt2_ll,0.7,0.060002,0.87,-0.4119
gpt2_ll,0.8,0.059983,0.95,-0.3963
gpt2_ll,0.9,0.060081,0.55,-0.3536
gpt2_ll,1.0,0.060218,0.0,-0.2697
mbr_pll_tau1.0,,0.093762,-134.89,
mbr_pll_tau5.0,,0.060002,0.87,
mbr_pll_tau10.0,,0.055292,19.81,
mbr_pll_tau50.0,,0.058197,8.13,
mbr_pll_tauinf,,0.059335,3.55,
