G,method,wer_pct,delta_pp,p_value,ci_lower,ci_upper,significant_005,significant_001
4,mbr_cer_ctc_tau50,6.1592,0.1374,1.0,0.0792,0.1961,False,False
4,mbr_cer_ctc_tau_inf,6.2868,0.265,1.0,0.1897,0.3431,False,False
4,roberta_interp_a0.7,5.9315,-0.0903,0.001,-0.1449,-0.0354,True,True
4,roberta_interp_a0.8,5.9453,-0.0765,0.0001,-0.1169,-0.0375,True,True
4,mbr_cer_pll_tau5,6.5596,0.5378,1.0,0.4229,0.6559,False,False
4,mbr_cer_pll_tau10,6.1985,0.1767,0.9999,0.0773,0.2759,False,False
4,mbr_cer_pll_tau50,6.0552,0.0334,0.8475,-0.0331,0.0999,False,False
4,gpt2_interp_a0.8,6.012,-0.0098,0.2693,-0.0387,0.0196,False,False
8,mbr_cer_ctc_tau50,6.0925,0.0707,0.9869,0.0078,0.1348,False,False
8,mbr_cer_ctc_tau_inf,6.1219,0.1001,0.9978,0.0312,0.1708,False,False
8,roberta_interp_a0.7,5.8884,-0.1335,0.0001,-0.1979,-0.0715,True,True
8,roberta_interp_a0.8,5.9414,-0.0805,0.0002,-0.1238,-0.039,True,True
8,mbr_cer_pll_tau5,6.5734,0.5515,1.0,0.4216,0.6863,False,False
8,mbr_cer_pll_tau10,5.8864,-0.1354,0.0031,-0.2303,-0.0385,True,True
8,mbr_cer_pll_tau50,5.9826,-0.0393,0.1491,-0.1107,0.033,False,False
8,gpt2_interp_a0.8,6.01,-0.0118,0.2298,-0.0408,0.0178,False,False
16,mbr_cer_ctc_tau50,5.9865,-0.0353,0.163,-0.1024,0.0327,False,False
16,mbr_cer_ctc_tau_inf,5.9885,-0.0334,0.1812,-0.1014,0.0353,False,False
16,roberta_interp_a0.7,5.9178,-0.104,0.0019,-0.1696,-0.0391,True,True
16,roberta_interp_a0.8,5.9453,-0.0765,0.0001,-0.123,-0.0318,True,True
16,mbr_cer_pll_tau5,6.5498,0.528,1.0,0.393,0.6659,False,False
16,mbr_cer_pll_tau10,5.7902,-0.2316,0.0,-0.3267,-0.1381,True,True
16,mbr_cer_pll_tau50,5.9217,-0.1001,0.0022,-0.1703,-0.0314,True,True
16,gpt2_interp_a0.8,5.9885,-0.0334,0.0238,-0.0668,-0.0019,True,False
32,mbr_cer_ctc_tau50,5.9669,-0.055,0.0266,-0.1097,0.0,True,False
32,mbr_cer_ctc_tau_inf,5.9649,-0.0569,0.0248,-0.1124,-0.0019,True,False
32,roberta_interp_a0.7,5.9629,-0.0589,0.0754,-0.1385,0.0196,False,False
32,roberta_interp_a0.8,5.8903,-0.1315,0.0,-0.1874,-0.0788,True,True
32,mbr_cer_pll_tau5,6.3241,0.3023,1.0,0.1659,0.4379,False,False
32,mbr_cer_pll_tau10,5.7078,-0.314,0.0,-0.4043,-0.2253,True,True
32,mbr_cer_pll_tau50,5.9178,-0.104,0.0002,-0.1627,-0.0454,True,True
32,gpt2_interp_a0.8,6.0022,-0.0196,0.1143,-0.0514,0.01,False,False
64,mbr_cer_ctc_tau50,5.9335,-0.0883,0.0014,-0.1444,-0.0312,True,True
64,mbr_cer_ctc_tau_inf,5.9433,-0.0785,0.004,-0.1352,-0.0199,True,True
64,roberta_interp_a0.7,5.9629,-0.0589,0.0803,-0.139,0.0214,False,False
64,roberta_interp_a0.8,5.8884,-0.1335,0.0,-0.1886,-0.0817,True,True
64,mbr_cer_pll_tau5,6.0316,0.0098,0.5669,-0.1214,0.143,False,False
64,mbr_cer_pll_tau10,5.645,-0.3769,0.0,-0.4643,-0.2894,True,True
64,mbr_cer_pll_tau50,5.8354,-0.1865,0.0,-0.2508,-0.1242,True,True
64,gpt2_interp_a0.8,5.9943,-0.0275,0.0498,-0.0598,0.0039,True,False
128,mbr_cer_ctc_tau50,5.9374,-0.0844,0.004,-0.1452,-0.0232,True,True
128,mbr_cer_ctc_tau_inf,5.9335,-0.0883,0.0034,-0.1505,-0.0243,True,True
128,roberta_interp_a0.7,5.9649,-0.0569,0.096,-0.1422,0.0256,False,False
128,roberta_interp_a0.8,5.8884,-0.1335,0.0,-0.1898,-0.0788,True,True
128,mbr_cer_pll_tau5,6.0002,-0.0216,0.3828,-0.1593,0.1192,False,False
128,mbr_cer_pll_tau10,5.5292,-0.4927,0.0,-0.5857,-0.4031,True,True
128,mbr_cer_pll_tau50,5.8197,-0.2022,0.0,-0.2709,-0.1349,True,True
128,gpt2_interp_a0.8,5.9983,-0.0236,0.0501,-0.0522,0.002,False,False
