G,method,wer,delta_pp,p_value,ci_lower,ci_upper,oracle_wer,gap_closed_pct
4,greedy,6.0218,0.0,,,,5.2485,0.0
4,oracle,5.2485,-0.7733,,,,5.2485,100.0
4,mbr_cer_ctc_tau50,6.1592,0.1374,1.0,0.07922083290243552,0.1961138253991687,5.2485,-17.77
4,mbr_cer_ctc_tau_inf,6.2868,0.265,1.0,0.18969872260529239,0.3431037794575553,5.2485,-34.26
4,roberta_interp_a0.5,6.0434,0.0216,,,,5.2485,-2.79
4,roberta_interp_a0.6,5.9629,-0.0589,,,,5.2485,7.61
4,roberta_interp_a0.7,5.9315,-0.0903,0.001,-0.14490270579484793,-0.03543626231915147,5.2485,11.68
4,roberta_interp_a0.8,5.9453,-0.0765,0.0001,-0.11685233079133685,-0.037536666949404066,5.2485,9.9
4,roberta_interp_a0.9,5.9865,-0.0353,,,,5.2485,4.57
4,mbr_cer_pll_tau5,6.5596,0.5378,1.0,0.42288440147264783,0.6559481443404738,5.2485,-69.54
4,mbr_cer_pll_tau10,6.1985,0.1767,0.9999,0.07732416464463583,0.2759395739819321,5.2485,-22.84
4,mbr_cer_pll_tau50,6.0552,0.0334,0.8475,-0.033136723078838214,0.09985358241334723,5.2485,-4.31
4,mbr_cer_pll_tauinf,6.2868,0.265,,,,5.2485,-34.26
4,gpt2_interp_a0.7,6.012,-0.0098,,,,5.2485,1.27
4,gpt2_interp_a0.8,6.012,-0.0098,0.2693,-0.03874786568948347,0.019617863635004257,5.2485,1.27
8,greedy,6.0218,0.0,,,,4.8265,0.0
8,oracle,4.8265,-1.1953,,,,4.8265,100.0
8,mbr_cer_ctc_tau50,6.0925,0.0707,0.9869,0.007815801762681766,0.13481653961285156,4.8265,-5.91
8,mbr_cer_ctc_tau_inf,6.1219,0.1001,0.9978,0.031185452035922864,0.17084457362448258,4.8265,-8.37
8,roberta_interp_a0.5,6.1141,0.0923,,,,4.8265,-7.72
8,roberta_interp_a0.6,5.9531,-0.0687,,,,4.8265,5.75
8,roberta_interp_a0.7,5.8884,-0.1335,0.0001,-0.19792701176511088,-0.07148452542196365,4.8265,11.17
8,roberta_interp_a0.8,5.9414,-0.0805,0.0002,-0.1238237636026628,-0.0389951601547059,4.8265,6.73
8,roberta_interp_a0.9,5.9826,-0.0393,,,,4.8265,3.28
8,mbr_cer_pll_tau5,6.5734,0.5515,1.0,0.4215789214256034,0.6862608813864262,4.8265,-46.14
8,mbr_cer_pll_tau10,5.8864,-0.1354,0.0031,-0.23029286508290786,-0.03852007320184377,4.8265,11.33
8,mbr_cer_pll_tau50,5.9826,-0.0393,0.1491,-0.11074315506069325,0.032977851523229997,4.8265,3.28
8,mbr_cer_pll_tauinf,6.1219,0.1001,,,,4.8265,-8.37
8,gpt2_interp_a0.7,6.0061,-0.0157,,,,4.8265,1.31
8,gpt2_interp_a0.8,6.01,-0.0118,0.2298,-0.040830035786395664,0.01777605723370851,4.8265,0.99
16,greedy,6.0218,0.0,,,,4.4418,0.0
16,oracle,4.4418,-1.58,,,,4.4418,100.0
16,mbr_cer_ctc_tau50,5.9865,-0.0353,0.163,-0.10240171460495029,0.032745338691016784,4.4418,2.24
16,mbr_cer_ctc_tau_inf,5.9885,-0.0334,0.1812,-0.10141780708883451,0.035317974700059665,4.4418,2.11
16,roberta_interp_a0.5,6.171,0.1492,,,,4.4418,-9.44
16,roberta_interp_a0.6,6.0199,-0.002,,,,4.4418,0.12
16,roberta_interp_a0.7,5.9178,-0.104,0.0019,-0.16957286682392764,-0.039064703434132445,4.4418,6.58
16,roberta_interp_a0.8,5.9453,-0.0765,0.0001,-0.12297754092491404,-0.031796107652112986,4.4418,4.84
16,roberta_interp_a0.9,5.9845,-0.0373,,,,4.4418,2.36
16,mbr_cer_pll_tau5,6.5498,0.528,1.0,0.39299352236426677,0.665948190124502,4.4418,-33.42
16,mbr_cer_pll_tau10,5.7902,-0.2316,0.0,-0.3266887444155684,-0.13813769665451187,4.4418,14.66
16,mbr_cer_pll_tau50,5.9217,-0.1001,0.0022,-0.1702690391620988,-0.03142856638810532,4.4418,6.34
