G,scorer,rho,ci_lower,ci_upper,n_utterances
4,ctc,-0.5745,-0.5889,-0.5601,2698
4,roberta_pll,-0.5814,-0.596,-0.5666,2698
4,interpolated,-0.6699,-0.6819,-0.6574,2698
4,gpt2,-0.4799,-0.4969,-0.4629,2695
8,ctc,-0.4055,-0.4161,-0.3946,2817
8,roberta_pll,-0.5125,-0.5232,-0.5017,2817
8,interpolated,-0.5645,-0.5741,-0.5548,2817
8,gpt2,-0.4248,-0.4361,-0.4133,2814
16,ctc,-0.3474,-0.3556,-0.3389,2858
16,roberta_pll,-0.4844,-0.4935,-0.4754,2858
16,interpolated,-0.527,-0.5351,-0.5189,2858
16,gpt2,-0.4005,-0.4102,-0.3909,2858
32,ctc,-0.2091,-0.2152,-0.2028,2861
32,roberta_pll,-0.4171,-0.4252,-0.4086,2861
32,interpolated,-0.4393,-0.4469,-0.4314,2861
32,gpt2,-0.3294,-0.338,-0.3207,2855
64,ctc,-0.2197,-0.2248,-0.2144,2863
64,roberta_pll,-0.4325,-0.4396,-0.4251,2863
64,interpolated,-0.4566,-0.4632,-0.4498,2863
64,gpt2,-0.3344,-0.342,-0.3267,2857
128,ctc,-0.2697,-0.2745,-0.2647,2864
128,roberta_pll,-0.4609,-0.4673,-0.4543,2864
128,interpolated,-0.4923,-0.4982,-0.4863,2864
128,gpt2,-0.3614,-0.3682,-0.3544,2864
