utt_id,T,L,T_over_L,dead_frac,active_frac,ambig_frac,mean_entropy
4323-13259-0000,305,88,3.465909090909091,0.33114754098360655,0.33114754098360655,0.3377049180327869,0.24155662953853607
4323-13259-0001,268,66,4.0606060606060606,0.376865671641791,0.332089552238806,0.291044776119403,0.21912944316864014
4323-13259-0002,80,20,4.0,0.275,0.3375,0.3875,0.2418884038925171
4323-13259-0003,72,18,4.0,0.25,0.4027777777777778,0.3472222222222222,0.31391456723213196
4323-13259-0004,92,26,3.5384615384615383,0.3804347826086957,0.32608695652173914,0.29347826086956524,0.2325419783592224
4323-13259-0005,374,88,4.25,0.34759358288770054,0.32887700534759357,0.3235294117647059,0.22876060009002686
4323-13259-0006,82,28,2.9285714285714284,0.3170731707317073,0.34146341463414637,0.34146341463414637,0.23297007381916046
4323-13259-0007,80,24,3.3333333333333335,0.25,0.4,0.35,0.2780649960041046
4323-13259-0008,201,44,4.568181818181818,0.2736318407960199,0.39800995024875624,0.3283582089552239,0.255535751581192
4323-13259-0009,122,40,3.05,0.27049180327868855,0.36065573770491804,0.36885245901639346,0.27235493063926697
4323-13259-0010,231,70,3.3,0.2813852813852814,0.3939393939393939,0.3246753246753247,0.284197598695755
4323-13259-0011,237,60,3.95,0.2911392405063291,0.3881856540084388,0.3206751054852321,0.2646530270576477
4323-13259-0012,143,34,4.205882352941177,0.44755244755244755,0.3146853146853147,0.23776223776223776,0.22316887974739075
4323-13259-0013,191,58,3.293103448275862,0.24083769633507854,0.41361256544502617,0.34554973821989526,0.31695616245269775
4323-13259-0014,147,42,3.5,0.3333333333333333,0.3197278911564626,0.3469387755102041,0.25960686802864075
4323-13259-0015,502,136,3.6911764705882355,0.33266932270916333,0.3346613545816733,0.33266932270916333,0.2475748360157013
4323-13259-0016,54,20,2.7,0.25925925925925924,0.3148148148148148,0.42592592592592593,0.21190191805362701
4323-13259-0017,89,28,3.1785714285714284,0.3258426966292135,0.30337078651685395,0.3707865168539326,0.22912809252738953
4323-13259-0018,154,40,3.85,0.34415584415584416,0.33766233766233766,0.3181818181818182,0.24520930647850037
4323-13259-0019,191,50,3.82,0.2198952879581152,0.42408376963350786,0.35602094240837695,0.2744555175304413
4323-13259-0020,225,60,3.75,0.28888888888888886,0.37777777777777777,0.3333333333333333,0.2707376480102539
4323-13259-0021,260,72,3.611111111111111,0.3269230769230769,0.3423076923076923,0.33076923076923076,0.23923268914222717
4323-13259-0022,258,82,3.1463414634146343,0.2751937984496124,0.4186046511627907,0.3062015503875969,0.26721686124801636
4323-13259-0023,143,44,3.25,0.23076923076923078,0.3356643356643357,0.43356643356643354,0.2873103618621826
4323-13259-0024,93,24,3.875,0.40860215053763443,0.27956989247311825,0.3118279569892473,0.192632794380188
4323-13259-0025,127,40,3.175,0.33070866141732286,0.29133858267716534,0.3779527559055118,0.23604166507720947
4323-13259-0026,141,48,2.9375,0.3120567375886525,0.3404255319148936,0.3475177304964539,0.24402353167533875
