tau,wer,delta_pp,p_value,ci_lower,ci_upper
5,6.0002,-0.0216,0.3828,-0.1593,0.1192
6,5.6940,-0.3278,0.0000,-0.4501,-0.2065
7,5.5920,-0.4299,0.0000,-0.5427,-0.3194
8,5.5095,-0.5123,0.0000,-0.6127,-0.4141
9,5.5056,-0.5162,0.0000,-0.6117,-0.4240
10,5.5292,-0.4927,0.0000,-0.5857,-0.4031
11,5.5429,-0.4789,0.0000,-0.5693,-0.3914
12,5.5723,-0.4495,0.0000,-0.5364,-0.3647
15,5.6195,-0.4024,0.0000,-0.4839,-0.3222
20,5.6921,-0.3297,0.0000,-0.4064,-0.2546
30,5.7588,-0.2630,0.0000,-0.3349,-0.1923
50,5.8197,-0.2022,0.0000,-0.2709,-0.1349
