alpha_ctc,beta_V,gamma_roberta,dev_rho,dev_corpus_wer,gap_closed_pct
0.0,0.0,1.0,0.4844,0.080356,-127.45
0.0,0.1,0.9,0.5041,0.071092,-68.82
0.0,0.2,0.8,0.5183,0.064909,-29.69
0.0,0.3,0.7,0.5271,0.062632,-15.28
0.0,0.4,0.6,0.5306,0.062103,-11.93
0.0,0.5,0.5,0.5273,0.06222,-12.67
0.0,0.6,0.4,0.5152,0.062829,-16.52
0.0,0.7,0.3,0.4938,0.063732,-22.24
0.0,0.8,0.2,0.4599,0.064419,-26.58
0.0,0.9,0.1,0.4164,0.065106,-30.93
0.0,1.0,0.0,0.3617,0.065871,-35.78
0.1,0.0,0.9,0.5029,0.070974,-68.07
0.1,0.1,0.8,0.5175,0.064576,-27.58
0.1,0.2,0.7,0.5276,0.061946,-10.93
0.1,0.3,0.6,0.5325,0.061102,-5.59
0.1,0.4,0.5,0.5294,0.06118,-6.09
0.1,0.5,0.4,0.5169,0.061788,-9.94
0.1,0.6,0.3,0.4953,0.062593,-15.03
0.1,0.7,0.2,0.4612,0.063692,-21.99
0.1,0.8,0.1,0.4166,0.064379,-26.34
0.1,0.9,0.0,0.3626,0.06485,-29.32
0.2,0.0,0.8,0.5161,0.064478,-26.96
0.2,0.1,0.7,0.5268,0.06169,-9.32
0.2,0.2,0.6,0.5322,0.060454,-1.49
0.2,0.3,0.5,0.5296,0.060179,0.25
0.2,0.4,0.4,0.5177,0.060591,-2.36
0.2,0.5,0.3,0.4965,0.061357,-7.2
0.2,0.6,0.2,0.4619,0.062397,-13.79
0.2,0.7,0.1,0.4168,0.063457,-20.5
0.2,0.8,0.0,0.3629,0.064183,-25.09
0.3,0.0,0.7,0.5243,0.061357,-7.2
0.3,0.1,0.6,0.5299,0.060179,0.25
0.3,0.2,0.5,0.5282,0.059865,2.24
0.3,0.3,0.4,0.5177,0.059885,2.11
0.3,0.4,0.3,0.4964,0.060336,-0.75
0.3,0.5,0.2,0.4624,0.06118,-6.09
0.3,0.6,0.1,0.4167,0.061985,-11.18
0.3,0.7,0.0,0.3628,0.063339,-19.75
0.4,0.0,0.6,0.5258,0.059983,1.49
0.4,0.1,0.5,0.5248,0.059708,3.23
0.4,0.2,0.4,0.5147,0.059728,3.11
0.4,0.3,0.3,0.4946,0.060002,1.37
0.4,0.4,0.2,0.4618,0.060473,-1.61
0.4,0.5,0.1,0.4168,0.060944,-4.6
0.4,0.6,0.0,0.3627,0.061769,-9.81
0.5,0.0,0.5,0.5192,0.059728,3.11
0.5,0.1,0.4,0.5112,0.059747,2.98
0.5,0.2,0.3,0.4905,0.059865,2.24
0.5,0.3,0.2,0.4592,0.060081,0.87
0.5,0.4,0.1,0.4149,0.060454,-1.49
0.5,0.5,0.0,0.3623,0.061043,-5.22
0.6,0.0,0.4,0.5048,0.059688,3.35
0.6,0.1,0.3,0.4854,0.059826,2.48
0.6,0.2,0.2,0.4551,0.060022,1.24
0.6,0.3,0.1,0.4123,0.060179,0.25
0.6,0.4,0.0,0.3599,0.060552,-2.11
0.7,0.0,0.3,0.479,0.059885,2.11
0.7,0.1,0.2,0.4499,0.060061,0.99
0.7,0.2,0.1,0.4091,0.060179,0.25
0.7,0.3,0.0,0.3575,0.060258,-0.25
0.8,0.0,0.2,0.4435,0.060061,0.99
0.8,0.1,0.1,0.404,0.060179,0.25
0.8,0.2,0.0,0.3546,0.060238,-0.12
0.9,0.0,0.1,0.3983,0.060179,0.25
0.9,0.1,0.0,0.3518,0.060238,-0.12
1.0,0.0,0.0,0.3474,0.060218,0.0
